label;name;description;PP
o.admin;O.Admin;Authenticated administration via secure channel;4.1.1
o.tlscrypto;O.TLS\_Crypto;TLS-channels with secure cyptographic algorithms;4.1.1
o.protection;O.Protection;Self-protection, self-test and protection of user data;4.1.1
o.timeservice;O.Time\_Service;Using a secure time service;4.1.1
o.vpn_auth;O.VPN\_Auth;Mutual authentication in the VPN tunnel;4.1.2
o.vpn_integrity;O.VPN\_Integrity;Integrity of data in the VPN tunnel;4.1.2
o.vpn_conf;O.VPN\_Conf;Confidentiality of data in the VPN tunnel;4.1.2
o.cert_check;O.Cert\_Check;Validity check for certificates;4.1.2
oe.realtimeclock;OE.Real\_Time\_Clock;Providing a real time clock;4.4
